"lon","lat","Max_Snow"
-125.9,51.1,1.74784469604492
-125.8,51.1,1.81323146820068
-125.7,51.1,1.80572700500488
-125.6,51.1,1.81236267089844
-125.5,51.1,1.9407958984375
-125.4,51.1,2.11792945861816
-125.3,51.1,2.22392749786377
-125.2,51.1,1.91111469268799
-125.1,51.1,1.72115898132324
-125,51.1,1.54501628875732
-124.9,51.1,1.52085304260254
-124.8,51.1,1.50590038299561
-124.7,51.1,1.51809215545654
-124.6,51.1,3.49872207641602
-124.5,51.1,6.55636692047119
-124.4,51.1,2.40288066864014
-124.3,51.1,1.22336959838867
-124.2,51.1,1.16063594818115
-124.1,51.1,1.0800142288208
-124,51.1,1.0003023147583
-123.9,51.1,0.949644088745117
-123.8,51.1,0.871608734130859
-123.7,51.1,0.809931755065918
-123.6,51.1,0.764602661132812
-123.5,51.1,0.730629920959473
-123.4,51.1,0.693350791931152
-123.3,51.1,0.664039611816406
-123.2,51.1,0.634292602539062
-123.1,51.1,0.604186058044434
-123,51.1,0.560061454772949
-122.9,51.1,0.508227348327637
-122.8,51.1,0.460848808288574
-122.7,51.1,0.43707275390625
-122.6,51.1,0.431451797485352
-122.5,51.1,0.420336723327637
-122.4,51.1,0.377204895019531
-122.3,51.1,0.30301570892334
-122.2,51.1,0.203291893005371
-122.1,51.1,0.169277191162109
-122,51.1,0.155509948730469
-121.9,51.1,0.148938179016113
-121.8,51.1,0.145541191101074
-121.7,51.1,0.125455856323242
-121.6,51.1,0.1158447265625
-121.5,51.1,0.111747741699219
-121.4,51.1,0.111635208129883
-121.3,51.1,0.121509552001953
-121.2,51.1,0.124507904052734
-121.1,51.1,0.118858337402344
-121,51.1,0.10366153717041
-120.9,51.1,0.0898675918579102
-120.8,51.1,0.0884809494018555
-120.7,51.1,0.110525131225586
-120.6,51.1,0.1419677734375
-120.5,51.1,0.171025276184082
-120.4,51.1,0.170749664306641
-120.3,51.1,0.161712646484375
-120.2,51.1,0.15485668182373
-120.1,51.1,0.158686637878418
-120,51.1,0.170961380004883
-119.9,51.1,0.186923980712891
-119.8,51.1,0.211594581604004
-119.7,51.1,0.220312118530273
-119.6,51.1,0.228113174438477
-119.5,51.1,0.250486373901367
-119.4,51.1,0.29497241973877
-119.3,51.1,0.324422836303711
-119.2,51.1,0.316543579101562
-119.1,51.1,0.30150318145752
-119,51.1,0.297871589660645
-118.9,51.1,0.316305160522461
-118.8,51.1,0.373790740966797
-118.7,51.1,0.436009407043457
-118.6,51.1,0.492546081542969
-118.5,51.1,0.534049034118652
-118.4,51.1,0.565460205078125
-118.3,51.1,0.574807167053223
-118.2,51.1,0.591856956481934
-118.1,51.1,0.632502555847168
-118,51.1,0.662143707275391
-117.9,51.1,0.68337345123291
-117.8,51.1,0.68326473236084
-117.7,51.1,0.679462432861328
-117.6,51.1,0.670838356018066
-117.5,51.1,0.646946907043457
-117.4,51.1,0.61003589630127
-117.3,51.1,0.560676574707031
-117.2,51.1,0.481792449951172
-117.1,51.1,0.449275016784668
-117,51.1,0.403987884521484
-116.9,51.1,0.339964866638184
-116.8,51.1,0.281546592712402
-116.7,51.1,0.238162994384766
-116.6,51.1,0.205840110778809
-116.5,51.1,0.219071388244629
-116.4,51.1,0.230622291564941
-116.3,51.1,0.28285026550293
-116.2,51.1,0.285883903503418
-116.1,51.1,0.285232543945312
-116,51.1,0.291641235351562
-115.9,51.1,0.295665740966797
-115.8,51.1,0.281270980834961
-115.7,51.1,0.274717330932617
-115.6,51.1,0.245827674865723
-115.5,51.1,0.212015151977539
-115.4,51.1,0.201951026916504
-115.3,51.1,0.180641174316406
-115.2,51.1,0.157993316650391
-115.1,51.1,0.0948734283447266
-115,51.1,0.0634183883666992
-114.9,51.1,0.0543117523193359
-114.8,51.1,0.048161506652832
-114.7,51.1,0.0440673828125
-114.6,51.1,0.0407114028930664
-114.5,51.1,0.0392837524414062
-114.4,51.1,0.0400247573852539
-114.3,51.1,0.0393600463867188
-114.2,51.1,0.0409383773803711
-114.1,51.1,0.0414247512817383
-114,51.1,0.0417928695678711
-113.9,51.1,0.0403671264648438
-113.8,51.1,0.0389900207519531
-113.7,51.1,0.0394878387451172
-113.6,51.1,0.0406579971313477
-113.5,51.1,0.0382795333862305
-113.4,51.1,0.0373220443725586
-113.3,51.1,0.0376424789428711
-113.2,51.1,0.0394277572631836
-113.1,51.1,0.0414028167724609
-113,51.1,0.0404109954833984
-112.9,51.1,0.0386819839477539
-112.8,51.1,0.0379209518432617
-112.7,51.1,0.0379772186279297
-112.6,51.1,0.0389699935913086
-112.5,51.1,0.0387105941772461
-112.4,51.1,0.0384016036987305
-112.3,51.1,0.0372867584228516
-112.2,51.1,0.0372076034545898
-112.1,51.1,0.0381402969360352
