"","Latitude","Longitude","ACF_value","P_value"
"361",60.6,-131,0.542261695222294,0.00154259725595229
"362",60.6,-130.9,0.543672201750986,0.00149947567401731
"363",60.6,-130.8,0.542477473644813,0.00153592738352026
"364",60.6,-130.7,0.538003180213865,0.00167981165720199
"365",60.6,-130.6,0.52938834520331,0.00199232444341746
"366",60.6,-130.5,0.520167304391228,0.00238527518909626
"367",60.6,-130.4,0.509739205364009,0.00291433068162972
"368",60.6,-130.3,0.491915984791481,0.00407169141929054
"369",60.6,-130.2,0.456746585954367,0.00764904502316932
"370",60.6,-130.1,0.413110527853078,0.0158493010779576
"371",60.6,-130,0.386190590481766,0.0241227931621805
"372",60.6,-129.9,0.371782412748263,0.0299288267558243
"373",60.6,-129.8,0.365916862910802,0.032615968300895
"374",60.6,-129.7,0.369163725726794,0.0311040389496765
"375",60.6,-129.6,0.365146445189907,0.0329838218518286
"376",60.6,-129.5,0.35892707838211,0.0360855582445635
"377",60.6,-129.4,0.355833275879792,0.0377189649053469
"378",60.6,-129.3,0.363531645864228,0.0337663807961088
"379",60.6,-129.2,0.368200228243284,0.0315462940596994
"380",60.6,-129.1,0.37228806000434,0.0297063541903043
"381",60.6,-129,0.378926846420544,0.0269148103885128
"382",60.6,-128.9,0.378406592655813,0.0271250823771018
"383",60.6,-128.8,0.379747153205508,0.026586124307289
"384",60.6,-128.7,0.371391598125144,0.0301017556152396
"385",60.6,-128.6,0.363832354950162,0.0336194605773433
"386",60.6,-128.5,0.353381920106042,0.0390574627949107
"387",60.6,-128.4,0.343385935356756,0.0449406849667886
"388",60.6,-128.3,0.335739613344945,0.0499305633268792
"389",60.7,-131.4,0.511964340972452,0.00279318964117581
"390",60.7,-131.3,0.529143614611229,0.00200193563113782
"391",60.7,-131.2,0.537771107555547,0.00168760257399603
"392",60.7,-131.1,0.539981723012326,0.00161472116711781
"393",60.7,-131,0.539915754972514,0.00161685344673379
"394",60.7,-130.9,0.53812183627651,0.00167584104787788
"395",60.7,-130.8,0.533887242974831,0.00182301926999506
"396",60.7,-130.7,0.523883332304473,0.00221908584576747
"397",60.7,-130.6,0.514251888764396,0.00267346081445285
"398",60.7,-130.5,0.508486372855508,0.00298462901968399
"399",60.7,-130.4,0.49901234757095,0.00356838082177047
"400",60.7,-130.3,0.483005307526141,0.00479459730280996
"401",60.7,-130.2,0.45561115636205,0.00780129810363417
"402",60.7,-130.1,0.421980036042196,0.0137334375452445
"403",60.7,-130,0.392674358167863,0.0218462792606037
"404",60.7,-129.9,0.403018535296372,0.0186008591080989
"405",60.7,-129.8,0.407900538662604,0.0172215362730862
"406",60.7,-129.7,0.409977514028559,0.016662472581122
"407",60.7,-129.6,0.398457165556582,0.0199759764297626
"408",60.7,-129.5,0.386416465828498,0.0240401557649228
"409",60.7,-129.4,0.380306270778339,0.0263640853799894
"410",60.7,-129.3,0.381883427807603,0.0257463729842851
"411",60.7,-129.2,0.386345977898906,0.0240659176661341
"412",60.7,-129.1,0.390626003593851,0.0225443898155626
"413",60.7,-129,0.400137213307474,0.0194594995406496
"414",60.7,-128.9,0.406436718370736,0.0176253768395515
"415",60.7,-128.8,0.398837199066644,0.0198581115467305
"416",60.7,-128.7,0.390631599566687,0.0225424565117319
"417",60.7,-128.6,0.381331677686108,0.0259610338879213
"418",60.7,-128.5,0.372192892568141,0.0297481165955256
"419",60.7,-128.4,0.376694333593741,0.0278271720137214
"420",60.7,-128.3,0.383905613485617,0.0249727035054816
"421",60.7,-128.2,0.378092839768287,0.0272525766596017
"422",60.7,-128.1,0.364995568566579,0.033056275699105
"423",60.7,-128,0.347981989310747,0.0421487998998864
"424",60.8,-131.6,0.498528920427566,0.00360078201868452
"425",60.8,-131.5,0.499557337726626,0.00353217163195374
"426",60.8,-131.4,0.507620903947464,0.00303409161217116
"427",60.8,-131.3,0.51143470062171,0.00282159983673791
"428",60.8,-131.2,0.516740060220662,0.00254857109354745
"429",60.8,-131.1,0.517615505600738,0.00250591429361646
"430",60.8,-131,0.510187385049758,0.00288955191427576
"431",60.8,-130.9,0.50337164913866,0.00328796293618494
"432",60.8,-130.8,0.496667081495297,0.00372808496659305
"433",60.8,-130.7,0.496251578908282,0.0037570474892431
"434",60.8,-130.6,0.490878405883547,0.00415045334382858
"435",60.8,-130.5,0.48171607684932,0.00490830371930195
"436",60.8,-130.4,0.473109757198903,0.00573194340097116
"437",60.8,-130.3,0.460848812554657,0.00712091375504798
"438",60.8,-130.2,0.456906169121171,0.00762786088958778
"439",60.8,-130.1,0.446662777497665,0.00909941095261468
"440",60.8,-130,0.450792435620144,0.00847810623303646
"441",60.8,-129.9,0.455511014337708,0.00781485587222175
"442",60.8,-129.8,0.448098843471463,0.00887889134889785
"443",60.8,-129.7,0.445407957514324,0.00929608779145419
"444",60.8,-129.6,0.437702089437004,0.0105892145505206
"445",60.8,-129.5,0.41385767996318,0.0156606108364847
"446",60.8,-129.4,0.40818806966815,0.0171431725613022
"447",60.8,-129.3,0.411240207842009,0.0163304353987135
"448",60.8,-129.2,0.415115148353469,0.0153475018649066
"449",60.8,-129.1,0.422203966810662,0.0136834117702449
"450",60.8,-129,0.443082985290705,0.00967054530708877
"451",60.8,-128.9,0.45457966497001,0.00794196163585648
"452",60.8,-128.8,0.451455516317742,0.00838196062450935
"453",60.8,-128.7,0.427920668866027,0.0124596499404812
"454",60.8,-128.6,0.409131249395388,0.0168883101595787
"455",60.8,-128.5,0.409731906133074,0.0167277417661686
"456",60.8,-128.4,0.402780705190188,0.018670456013946
"457",60.8,-128.3,0.393579391356051,0.0215438710144905
"458",60.8,-128.2,0.391942194981027,0.0220936208618453
"459",60.8,-128.1,0.383028727495409,0.0253056847452851
"460",60.8,-128,0.3698944099763,0.0307722050617886
"461",60.8,-127.9,0.350932480575453,0.0404349949036039
"462",60.8,-127.8,0.344566344128941,0.0442091606204855
"463",60.8,-127.7,0.342051144362934,0.0457801545033731
"464",60.8,-127.6,0.352031347082377,0.0398119938274604
"465",60.8,-127.5,0.356225310262457,0.0375085664391203
"466",60.8,-127.4,0.337636493499135,0.048651261874205
"467",60.9,-131.8,0.518974681735753,0.00244098008318061
"468",60.9,-131.7,0.517842292404375,0.00249497094827433
"469",60.9,-131.6,0.512180920604967,0.00278164763835365
"470",60.9,-131.5,0.508779241119425,0.00296805856662852
"471",60.9,-131.4,0.505757195807992,0.00314315266458687
"472",60.9,-131.3,0.507688356483353,0.00303020992030589
"473",60.9,-131.2,0.512106524429962,0.00278560745252954
"474",60.9,-131.1,0.514155979472325,0.0026783849235823
"475",60.9,-131,0.512799637979881,0.00274891439854674
"476",60.9,-130.9,0.505570192621047,0.00315429075135776
"477",60.9,-130.8,0.502376098364325,0.00335017343861077
"478",60.9,-130.7,0.502548877755042,0.00333930041922648
"479",60.9,-130.6,0.49575967530365,0.00379159980853505
"480",60.9,-130.5,0.488483215489757,0.00433757527406586
